CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1122	TC	k141_285797	k141_285797_5	5663	6766	-	TC|4.D.1.1.3+CAZyme|GT2
CGC1122	null	k141_285797	k141_285797_6	6878	8008	+	null
CGC1122	CAZyme	k141_285797	k141_285797_7	8179	9198	+	CAZyme|GT2
CGC1123	CAZyme	k141_28595	k141_28595_3	1177	2154	-	CAZyme|GT11_e40
CGC1123	TC	k141_28595	k141_28595_4	2263	3723	-	TC|2.A.66.2.16
CGC1123	null	k141_28595	k141_28595_5	3730	4491	-	null
CGC1123	CAZyme	k141_28595	k141_28595_6	4499	5518	-	CAZyme|GT10_e0
CGC1123	CAZyme	k141_28595	k141_28595_7	5515	6498	-	CAZyme|GT2
CGC1123	TC	k141_28595	k141_28595_8	6449	7699	-	TC|9.B.142.19.3
CGC1123	CAZyme	k141_28595	k141_28595_9	7702	8784	-	CAZyme|GT4_e788
CGC1123	CAZyme	k141_28595	k141_28595_10	8777	9529	-	CAZyme|GT26_e79
CGC1123	TC	k141_28595	k141_28595_11	9670	10344	-	TC|9.B.18.1.6
CGC1124	TC	k141_286047	k141_286047_18	16033	17625	-	TC|4.A.1.1.3
CGC1124	TF	k141_286047	k141_286047_19	17800	18828	+	TF|LacI+STP|Peripla_BP_1
CGC1124	TC	k141_286047	k141_286047_20	18940	19707	+	TC|1.A.115.1.5
CGC1124	STP	k141_286047	k141_286047_21	19940	20518	+	STP|TetR_N
CGC1124	CAZyme	k141_286047	k141_286047_22	20909	22720	+	CAZyme|GH2_e29
CGC1124	TC	k141_286047	k141_286047_23	22717	24090	+	TC|2.A.2.3.1
CGC1124	TC	k141_286047	k141_286047_24	24129	25394	+	TC|1.B.25.1.5
CGC1125	CAZyme	k141_286168	k141_286168_3	3004	3981	-	CAZyme|GT2+TC|4.D.1.1.14
CGC1125	TC	k141_286168	k141_286168_4	4257	5012	+	TC|2.A.102.3.4
CGC1126	TC	k141_286436	k141_286436_7	9181	11211	-	TC|2.A.130.1.2
CGC1126	CAZyme	k141_286436	k141_286436_8	11231	12127	-	CAZyme|GT2
CGC1126	null	k141_286436	k141_286436_9	12129	12740	-	null
CGC1126	TC	k141_286436	k141_286436_10	12823	13779	-	TC|2.A.115.1.5
CGC1127	TC	k141_286585	k141_286585_2	675	2078	-	TC|4.A.1.2.14
CGC1127	STP	k141_286585	k141_286585_3	2237	3256	+	STP|HTH_18
CGC1127	null	k141_286585	k141_286585_4	3503	5341	-	null
CGC1127	CAZyme	k141_286585	k141_286585_5	5426	6469	-	CAZyme|GH5_44
CGC1128	TC	k141_286736	k141_286736_8	7458	8195	+	TC|8.A.3.2.2
CGC1128	TC	k141_286736	k141_286736_9	8213	8959	+	TC|8.A.3.2.1
CGC1128	TC	k141_286736	k141_286736_10	8999	10891	+	TC|9.B.18.2.2
CGC1128	TC	k141_286736	k141_286736_11	10884	11486	+	TC|9.B.18.1.2
CGC1128	null	k141_286736	k141_286736_12	11499	12635	+	null
CGC1128	CAZyme	k141_286736	k141_286736_13	12725	13825	+	CAZyme|GT4_e4047
CGC1128	CAZyme	k141_286736	k141_286736_14	13831	14967	+	CAZyme|GT4_e1395
CGC1128	TC	k141_286736	k141_286736_15	14982	15863	+	TC|4.D.1.1.5+CAZyme|GT2
CGC1128	TC	k141_286736	k141_286736_16	15894	16943	+	TC|9.B.183.1.9+CAZyme|GT122
CGC1128	CAZyme	k141_286736	k141_286736_17	16964	17713	+	CAZyme|GT32_e49
CGC1128	null	k141_286736	k141_286736_18	17727	18341	+	null
CGC1128	CAZyme	k141_286736	k141_286736_19	18369	19559	+	CAZyme|GT4_e134
CGC1128	null	k141_286736	k141_286736_20	19584	20696	+	null
CGC1128	CAZyme	k141_286736	k141_286736_21	20735	21922	+	CAZyme|GT4_e1460
CGC1128	TC	k141_286736	k141_286736_22	21937	22923	+	TC|4.D.1.1.15+CAZyme|GT2
CGC1129	TC	k141_286790	k141_286790_1	2	1060	+	TC|8.A.3.3.2
CGC1129	CAZyme	k141_286790	k141_286790_2	1238	2077	+	CAZyme|GT2
CGC1130	TC	k141_28711	k141_28711_3	1108	2982	-	TC|4.D.1.3.4+CAZyme|GT2|GT2
CGC1130	TC	k141_28711	k141_28711_4	2985	3245	-	TC|3.A.1.103.11
CGC1131	TC	k141_287110	k141_287110_4	2200	3210	-	TC|9.A.11.1.1
CGC1131	null	k141_287110	k141_287110_5	3278	3484	-	null
CGC1131	TF	k141_287110	k141_287110_6	3719	4054	+	TF|HTH_3
CGC1131	TC	k141_287110	k141_287110_7	4344	6149	+	TC|3.A.1.106.17
CGC1131	TC	k141_287110	k141_287110_8	6152	8128	+	TC|3.A.1.135.5
CGC1131	CAZyme	k141_287110	k141_287110_9	8624	11452	-	CAZyme|GH3_e14
CGC1131	TF	k141_287110	k141_287110_10	11594	12508	+	TF|0036286+STP|AraC_binding+TF|0035607+STP|HTH_18
CGC1131	TC	k141_287110	k141_287110_11	12713	14392	-	TC|3.A.1.123.2
CGC1131	TC	k141_287110	k141_287110_12	14389	16269	-	TC|3.A.1.210.9
CGC1132	CAZyme	k141_287602	k141_287602_3	1520	2653	-	CAZyme|GT4_e486
CGC1132	TC	k141_287602	k141_287602_4	2656	3750	-	TC|2.A.66.2.6
CGC1133	TC	k141_287769	k141_287769_1	3	818	-	TC|3.A.1.1.4
CGC1133	CAZyme	k141_287769	k141_287769_2	891	2924	-	CAZyme|GH112_e0
CGC1134	TC	k141_28788	k141_28788_2	491	1858	+	TC|2.A.25.1.4
CGC1134	STP	k141_28788	k141_28788_3	1864	2637	-	STP|LysR_substrate+TF|HTH_1
CGC1134	TC	k141_28788	k141_28788_4	2735	3352	+	TC|2.A.115.2.9
CGC1134	TF	k141_28788	k141_28788_5	3396	4232	+	TF|0036286+STP|HTH_18
CGC1134	null	k141_28788	k141_28788_6	4287	5720	+	null
CGC1134	CAZyme	k141_28788	k141_28788_7	5829	7247	-	CAZyme|GH1_e87+TC|8.A.49.1.3
CGC1134	TC	k141_28788	k141_28788_8	7338	9188	-	TC|3.A.1.211.25
CGC1134	STP	k141_28788	k141_28788_9	9229	9816	-	STP|TetR_N
CGC1134	STP	k141_28788	k141_28788_10	9973	11889	+	STP|Pyr_redox_2
CGC1134	TC	k141_28788	k141_28788_11	11902	12663	+	TC|1.A.115.1.2
CGC1134	STP	k141_28788	k141_28788_12	12896	14488	+	STP|SBP_bac_5
CGC1134	TC	k141_28788	k141_28788_13	14573	15505	+	TC|3.A.1.5.11
CGC1134	TC	k141_28788	k141_28788_14	15507	16376	+	TC|3.A.1.5.2
CGC1134	TC	k141_28788	k141_28788_15	16391	17404	+	TC|3.A.1.5.20
CGC1134	TC	k141_28788	k141_28788_16	17394	18380	+	TC|3.A.1.5.20
CGC1135	TC	k141_288017	k141_288017_13	10011	11216	-	TC|9.B.174.1.3
CGC1135	STP	k141_288017	k141_288017_14	11249	12421	-	STP|Peptidase_M23
CGC1135	TC	k141_288017	k141_288017_15	12448	13356	-	TC|3.A.1.140.2
CGC1135	TC	k141_288017	k141_288017_16	13346	14032	-	TC|3.A.1.140.2
CGC1135	null	k141_288017	k141_288017_17	14067	15155	-	null
CGC1135	CAZyme	k141_288017	k141_288017_18	15386	16066	-	CAZyme|GT26_e195
CGC1136	CAZyme	k141_288032	k141_288032_2	162	1055	-	CAZyme|CE4_e362
CGC1136	TC	k141_288032	k141_288032_3	1093	3027	+	TC|2.A.16.2.2
CGC1137	TC	k141_288194	k141_288194_1	164	1555	+	TC|4.A.1.2.1
CGC1137	CAZyme	k141_288194	k141_288194_2	1580	2983	+	CAZyme|GH32_e76
CGC1138	CAZyme	k141_288243	k141_288243_9	5539	7770	+	CAZyme|GT2+TC|4.D.1.3.3
CGC1138	null	k141_288243	k141_288243_10	7968	9788	+	null
CGC1138	TC	k141_288243	k141_288243_11	9897	10856	+	TC|4.D.1.1.3+CAZyme|GT2
CGC1138	null	k141_288243	k141_288243_12	11061	12623	+	null
CGC1138	TC	k141_288243	k141_288243_13	12641	13594	+	TC|4.D.1.1.2+CAZyme|GT2
CGC1139	TC	k141_288261	k141_288261_1	1	582	+	TC|2.A.66.1.40
CGC1139	TC	k141_288261	k141_288261_2	579	1667	+	TC|4.D.1.1.3+CAZyme|GT2
CGC1140	TC	k141_288505	k141_288505_30	34246	36132	-	TC|1.C.39.4.5
CGC1140	null	k141_288505	k141_288505_31	36286	37683	-	null
CGC1140	CAZyme	k141_288505	k141_288505_32	37735	40593	-	CAZyme|GH115_e0
CGC1141	CAZyme	k141_288959	k141_288959_4	3860	5323	+	CAZyme|GH1_e87+TC|8.A.49.1.2
CGC1141	null	k141_288959	k141_288959_5	5390	6238	+	null
CGC1141	TC	k141_288959	k141_288959_6	6262	8118	-	TC|3.A.1.211.25
CGC1142	TC	k141_289123	k141_289123_1	3	674	-	TC|3.A.1.17.1
CGC1142	CAZyme	k141_289123	k141_289123_2	1290	1961	+	CAZyme|CE14_e27
CGC1142	TC	k141_289123	k141_289123_3	1971	3167	+	TC|4.D.1.1.11+CAZyme|GT2
CGC1142	TC	k141_289123	k141_289123_4	3728	4501	+	TC|1.B.95.1.1
CGC1143	TC	k141_289132	k141_289132_2	476	1033	+	TC|2.A.88.6.1
CGC1143	null	k141_289132	k141_289132_3	1041	1730	+	null
CGC1143	null	k141_289132	k141_289132_4	1804	3087	-	null
CGC1143	CAZyme	k141_289132	k141_289132_5	3272	4342	+	CAZyme|GT2+TC|4.D.1.3.3
CGC1143	TC	k141_289132	k141_289132_6	4497	5534	+	TC|2.A.19.5.1
CGC1143	null	k141_289132	k141_289132_7	5652	6335	-	null
CGC1143	STP	k141_289132	k141_289132_8	6358	8124	-	STP|dCache_1+STP|HATPase_c+TC|9.B.33.1.7
CGC1144	CAZyme	k141_289155	k141_289155_2	1173	2300	-	CAZyme|GT4_e3668
CGC1144	TC	k141_289155	k141_289155_3	2321	3199	-	TC|9.B.18.2.4
CGC1144	TC	k141_289155	k141_289155_4	3199	4035	-	TC|9.B.18.1.3
CGC1145	TC	k141_289403	k141_289403_17	18077	19429	-	TC|9.B.174.1.1
CGC1145	TC	k141_289403	k141_289403_18	19516	20424	-	TC|3.A.1.140.2
CGC1145	TC	k141_289403	k141_289403_19	20414	21097	-	TC|3.A.1.140.2
CGC1145	null	k141_289403	k141_289403_20	21108	22193	-	null
CGC1145	TC	k141_289403	k141_289403_21	22351	23232	-	TC|2.A.115.1.5
CGC1145	CAZyme	k141_289403	k141_289403_22	23234	23911	-	CAZyme|GT26_e53
CGC1146	TC	k141_289458	k141_289458_35	43398	44057	-	TC|1.C.113.1.10
CGC1146	null	k141_289458	k141_289458_36	44221	44532	-	null
CGC1146	CAZyme	k141_289458	k141_289458_37	44577	45101	+	CAZyme|GH1_e0+TC|8.A.49.1.2
CGC1147	TC	k141_289528	k141_289528_1	3	209	-	TC|4.A.1.2.3
CGC1147	CAZyme	k141_289528	k141_289528_2	240	1718	-	CAZyme|GH1_e85+TC|8.A.49.1.2
CGC1148	CAZyme	k141_289578	k141_289578_4	2751	3845	-	CAZyme|GT28_e40
CGC1148	CAZyme	k141_289578	k141_289578_5	3961	5043	+	CAZyme|GT119+TC|2.A.103.1.3
CGC1149	TC	k141_289680	k141_289680_4	3215	4171	-	TC|9.B.18.2.4
CGC1149	null	k141_289680	k141_289680_5	4168	5025	-	null
CGC1149	null	k141_289680	k141_289680_6	5031	5603	-	null
CGC1149	CAZyme	k141_289680	k141_289680_7	5666	6817	-	CAZyme|GT92_e1
CGC1149	null	k141_289680	k141_289680_8	6881	7594	-	null
CGC1149	CAZyme	k141_289680	k141_289680_9	7608	10760	-	CAZyme|GT4_e775|GT2+TC|4.D.1.1.4
CGC1150	STP	k141_289710	k141_289710_14	15012	17348	+	STP|PAS+TC|9.B.238.3.1+STP|Response_reg+STP|HisKA+STP|HATPase_c
CGC1150	null	k141_289710	k141_289710_15	17578	18231	+	null
CGC1150	CAZyme	k141_289710	k141_289710_16	18228	18956	+	CAZyme|GT51_e0
CGC1151	TC	k141_289768	k141_289768_24	25600	26085	-	TC|2.A.128.1.9
CGC1151	STP	k141_289768	k141_289768_25	26072	26752	-	STP|Pribosyltran
CGC1151	CAZyme	k141_289768	k141_289768_26	26971	31098	-	CAZyme|GH53_e14|CBM61_e15
CGC1152	CAZyme	k141_289776	k141_289776_2	1002	2477	-	CAZyme|GH32_e0
CGC1152	TC	k141_289776	k141_289776_3	2535	3782	-	TC|2.A.1.5.6
CGC1152	TF	k141_289776	k141_289776_4	3928	4911	-	TF|LacI+STP|Peripla_BP_3
CGC1152	null	k141_289776	k141_289776_5	5349	5492	-	null
CGC1152	TC	k141_289776	k141_289776_6	5600	6775	-	TC|2.A.4.7.6
CGC1152	TC	k141_289776	k141_289776_7	6919	8670	-	TC|1.A.33.1.4
CGC1152	null	k141_289776	k141_289776_8	8683	9204	-	null
CGC1152	TC	k141_289776	k141_289776_9	9255	10019	+	TC|8.A.192.1.5
CGC1152	null	k141_289776	k141_289776_10	10044	10706	+	null
CGC1152	null	k141_289776	k141_289776_11	10852	11409	+	null
CGC1152	TC	k141_289776	k141_289776_12	11640	13523	-	TC|3.A.1.135.10
CGC1152	TC	k141_289776	k141_289776_13	13507	15252	-	TC|3.A.1.135.10
CGC1153	TC	k141_289912	k141_289912_1	1	534	+	TC|1.A.23.2.1
CGC1153	CAZyme	k141_289912	k141_289912_2	637	1764	-	CAZyme|GH94_e12
CGC1154	CAZyme	k141_290026	k141_290026_24	27518	28621	+	CAZyme|GT4_e150
CGC1154	null	k141_290026	k141_290026_25	28618	29112	+	null
CGC1154	TC	k141_290026	k141_290026_26	29126	30049	+	TC|4.D.1.1.3+CAZyme|GT2
CGC1155	CAZyme	k141_290083	k141_290083_1	143	1816	+	CAZyme|CE12_e49
CGC1155	CAZyme	k141_290083	k141_290083_2	1835	3997	+	CAZyme|GH112_e1
CGC1155	TC	k141_290083	k141_290083_3	4228	5535	+	TC|2.A.66.1.33
CGC1156	CAZyme	k141_29017	k141_29017_2	1585	3627	-	CAZyme|GH28_e105
CGC1156	TC	k141_29017	k141_29017_3	3620	5146	-	TC|2.A.80.1.1
CGC1157	TC	k141_290333	k141_290333_1	1	1281	-	TC|4.A.3.2.11
CGC1157	TC	k141_290333	k141_290333_2	1298	2557	-	TC|8.A.49.1.1+CAZyme|GH1_e85
CGC1158	CAZyme	k141_290357	k141_290357_1	1	627	+	CAZyme|CE4_e347
CGC1158	TC	k141_290357	k141_290357_2	665	1240	-	TC|9.B.402.1.3
CGC1159	TC	k141_29075	k141_29075_3	1017	2075	-	TC|9.A.23.1.1
CGC1159	CAZyme	k141_29075	k141_29075_4	2439	3938	+	CAZyme|GH25_e72
CGC1160	CAZyme	k141_290828	k141_290828_12	10608	12053	+	CAZyme|GT5_e9
CGC1160	TC	k141_290828	k141_290828_13	12132	12590	+	TC|9.B.363.1.2
CGC1161	TC	k141_29087	k141_29087_9	8112	8666	-	TC|3.A.1.26.7
CGC1161	TC	k141_29087	k141_29087_10	9199	10188	-	TC|8.A.5.1.3
CGC1161	CAZyme	k141_29087	k141_29087_11	10292	11797	-	CAZyme|GH51_1
CGC1162	TC	k141_291247	k141_291247_3	2745	6161	-	TC|3.A.11.1.5
CGC1162	TC	k141_291247	k141_291247_4	6190	6930	-	TC|4.D.2.1.6+CAZyme|GT2
CGC1163	TC	k141_291358	k141_291358_3	2892	3902	-	TC|4.D.2.1.5
CGC1163	CAZyme	k141_291358	k141_291358_4	3907	4608	-	CAZyme|GT4_e360
CGC1164	TC	k141_291780	k141_291780_32	32100	32519	-	TC|2.A.7.21.4
CGC1164	STP	k141_291780	k141_291780_33	32601	33248	+	STP|cNMP_binding
CGC1164	STP	k141_291780	k141_291780_34	33275	34102	+	STP|SIS+TF|HTH_6
CGC1164	TC	k141_291780	k141_291780_35	34235	34474	+	TC|2.A.123.2.13
CGC1164	TC	k141_291780	k141_291780_36	34489	35922	+	TC|8.A.49.1.1+CAZyme|GH1_e0
CGC1164	null	k141_291780	k141_291780_37	35945	36454	-	null
CGC1164	null	k141_291780	k141_291780_38	36466	37242	-	null
CGC1164	TC	k141_291780	k141_291780_39	37361	38695	-	TC|2.A.66.1.28
CGC1164	null	k141_291780	k141_291780_40	38733	39038	-	null
CGC1164	CAZyme	k141_291780	k141_291780_41	39022	40344	-	CAZyme|GH32_e45
CGC1165	TC	k141_291793	k141_291793_1	1	168	-	TC|2.A.128.1.19
CGC1165	null	k141_291793	k141_291793_2	649	1254	-	null
CGC1165	null	k141_291793	k141_291793_3	1258	1647	-	null
CGC1165	TC	k141_291793	k141_291793_4	2347	3762	-	TC|2.A.66.2.16
CGC1165	null	k141_291793	k141_291793_5	3932	5053	-	null
CGC1165	CAZyme	k141_291793	k141_291793_6	5047	6111	-	CAZyme|GT4_e970
CGC1165	null	k141_291793	k141_291793_7	6101	6973	-	null
CGC1165	CAZyme	k141_291793	k141_291793_8	6963	7880	-	CAZyme|GT2
CGC1165	CAZyme	k141_291793	k141_291793_9	7890	8468	-	CAZyme|GT1_e246
CGC1165	null	k141_291793	k141_291793_10	8411	8881	-	null
CGC1165	TC	k141_291793	k141_291793_11	8980	9270	-	TC|8.A.3.3.3
CGC1166	CAZyme	k141_292342	k141_292342_2	209	991	+	CAZyme|GT2
CGC1166	null	k141_292342	k141_292342_3	1134	2387	+	null
CGC1166	CAZyme	k141_292342	k141_292342_4	2389	3372	+	CAZyme|GT2+TC|2.A.127.1.18
CGC1166	TC	k141_292342	k141_292342_5	3401	4360	+	TC|4.D.1.1.15+CAZyme|GT2
CGC1167	TC	k141_292370	k141_292370_2	466	1818	-	TC|2.A.2.3.5
CGC1167	CAZyme	k141_292370	k141_292370_3	1833	4715	-	CAZyme|CBM67_e28|GH78_e80
CGC1167	CAZyme	k141_292370	k141_292370_4	4857	6836	-	CAZyme|GH3_e197
CGC1168	TC	k141_292701	k141_292701_1	3	800	+	TC|2.A.2.3.15
CGC1168	CAZyme	k141_292701	k141_292701_2	877	2646	+	CAZyme|GH3_e106
CGC1169	TC	k141_293509	k141_293509_4	1535	2365	-	TC|8.A.5.1.4
CGC1169	TC	k141_293509	k141_293509_5	2518	4377	-	TC|3.A.1.135.6
CGC1169	TC	k141_293509	k141_293509_6	4370	6652	-	TC|3.A.1.135.6
CGC1169	TF	k141_293509	k141_293509_7	6679	7146	-	TF|0040517
CGC1169	null	k141_293509	k141_293509_8	7465	8190	+	null
CGC1169	CAZyme	k141_293509	k141_293509_9	8266	9606	-	CAZyme|GH25_e34|CBM50_e149|CBM50_e149|CBM50_e149
CGC1170	CAZyme	k141_29354	k141_29354_7	4071	6671	+	CAZyme|GH3_e165
CGC1170	null	k141_29354	k141_29354_8	6708	7643	+	null
CGC1170	null	k141_29354	k141_29354_9	7674	8585	+	null
CGC1170	TC	k141_29354	k141_29354_10	8708	10099	+	TC|2.A.66.1.28
CGC1170	null	k141_29354	k141_29354_11	10523	10963	+	null
CGC1170	null	k141_29354	k141_29354_12	10960	11721	+	null
CGC1170	TC	k141_29354	k141_29354_13	11901	13223	+	TC|2.A.66.1.26
CGC1171	CAZyme	k141_293559	k141_293559_2	741	1697	-	CAZyme|GH26_e33
CGC1171	null	k141_293559	k141_293559_3	1716	1886	-	null
CGC1171	TC	k141_293559	k141_293559_4	2038	2580	-	TC|9.B.156.3.1
CGC1172	TC	k141_293655	k141_293655_1	1	729	+	TC|2.A.2.2.2
CGC1172	CAZyme	k141_293655	k141_293655_2	722	1813	+	CAZyme|GH36_e31
CGC1173	CAZyme	k141_293692	k141_293692_1	1	621	+	CAZyme|GT2
CGC1173	STP	k141_293692	k141_293692_2	638	2545	+	STP|EAL
CGC1173	STP	k141_293692	k141_293692_3	2559	3971	+	STP|dCache_1+STP|GGDEF+TC|9.B.34.1.8
CGC1174	CAZyme	k141_294042	k141_294042_1	1	630	-	CAZyme|GH28_e87
CGC1174	null	k141_294042	k141_294042_2	746	1537	-	null
CGC1174	CAZyme	k141_294042	k141_294042_3	1550	3181	-	CAZyme|GH43_11|CBM91_e24
CGC1174	null	k141_294042	k141_294042_4	3185	4027	-	null
CGC1174	CAZyme	k141_294042	k141_294042_5	4021	5172	-	CAZyme|GH88_e32
CGC1174	null	k141_294042	k141_294042_6	5153	5797	-	null
CGC1174	TC	k141_294042	k141_294042_7	5875	6756	-	TC|4.A.6.1.19
CGC1174	TC	k141_294042	k141_294042_8	6749	7618	-	TC|4.A.6.1.11
CGC1174	TC	k141_294042	k141_294042_9	7689	8171	-	TC|4.A.6.1.26
CGC1174	TC	k141_294042	k141_294042_10	8215	8646	-	TC|4.A.6.1.16
CGC1174	CAZyme	k141_294042	k141_294042_11	8799	10607	-	CAZyme|GH154_e0
CGC1175	CAZyme	k141_294051	k141_294051_47	56717	58027	-	CAZyme|GH32_e25
CGC1175	CAZyme	k141_294051	k141_294051_48	57999	59522	-	CAZyme|GH13_18
CGC1175	TC	k141_294051	k141_294051_49	59534	60397	-	TC|3.A.1.1.45
CGC1175	TC	k141_294051	k141_294051_50	60397	61275	-	TC|3.A.1.1.45
CGC1175	TC	k141_294051	k141_294051_51	61384	62709	-	TC|3.A.1.1.45
CGC1175	null	k141_294051	k141_294051_52	63341	64189	+	null
CGC1175	null	k141_294051	k141_294051_53	64250	64468	-	null
CGC1175	TC	k141_294051	k141_294051_54	64452	65855	-	TC|2.A.66.1.28
CGC1176	TC	k141_29435	k141_29435_1	3	1985	-	TC|3.A.1.14.3
CGC1176	TC	k141_29435	k141_29435_2	1982	2872	-	TC|3.A.1.14.3
CGC1176	TC	k141_29435	k141_29435_3	2872	3669	-	TC|3.A.1.14.3
CGC1176	TC	k141_29435	k141_29435_4	3720	5963	-	TC|1.B.14.1.2
CGC1176	CAZyme	k141_29435	k141_29435_5	6183	8717	-	CAZyme|GT51_e28
CGC1177	TC	k141_29439	k141_29439_8	6695	8230	+	TC|2.A.80.1.1
CGC1177	CAZyme	k141_29439	k141_29439_9	8223	9320	+	CAZyme|CE19_e1
CGC1177	CAZyme	k141_29439	k141_29439_10	9334	11370	+	CAZyme|GH28_e105
CGC1177	CAZyme	k141_29439	k141_29439_11	11385	12479	+	CAZyme|GH105_e60
CGC1178	CAZyme	k141_294471	k141_294471_2	180	1193	+	CAZyme|GT9_e261
CGC1178	TC	k141_294471	k141_294471_3	1210	1488	+	TC|4.D.1.1.3+CAZyme|GT2
CGC1179	CAZyme	k141_294495	k141_294495_1	3	1757	-	CAZyme|GH13_4
CGC1179	TC	k141_294495	k141_294495_2	1848	2708	-	TC|3.A.1.1.45
CGC1179	TC	k141_294495	k141_294495_3	2708	3658	-	TC|3.A.1.1.45
CGC1180	TC	k141_294810	k141_294810_1	2	418	-	TC|3.A.1.135.9
CGC1180	CAZyme	k141_294810	k141_294810_2	390	1439	-	CAZyme|GH77_e1
CGC1181	CAZyme	k141_294858	k141_294858_5	2968	5679	-	CAZyme|GH3_e165
CGC1181	STP	k141_294858	k141_294858_6	6047	6664	+	STP|TetR_N
CGC1181	null	k141_294858	k141_294858_7	6708	7229	-	null
CGC1181	TC	k141_294858	k141_294858_8	7610	9385	-	TC|3.A.1.33.1
CGC1181	null	k141_294858	k141_294858_9	9401	10168	-	null
CGC1181	TC	k141_294858	k141_294858_10	10194	10796	-	TC|3.A.1.28.1
CGC1182	TC	k141_295418	k141_295418_1	2	238	+	TC|1.B.93.1.1
CGC1182	CAZyme	k141_295418	k141_295418_2	359	2338	-	CAZyme|GH127_e0
CGC1182	TC	k141_295418	k141_295418_3	2349	3749	-	TC|2.A.2.3.6
CGC1183	TC	k141_295472	k141_295472_1	2	1288	-	TC|3.A.5.2.2
CGC1183	STP	k141_295472	k141_295472_2	1327	1662	-	STP|Sigma70_r4
CGC1183	CAZyme	k141_295472	k141_295472_3	1809	2894	-	CAZyme|GH25_e146
CGC1183	TC	k141_295472	k141_295472_4	3012	4100	-	TC|3.A.5.1.1
CGC1184	CAZyme	k141_295549	k141_295549_2	260	2005	-	CAZyme|GH35_e23
CGC1184	STP	k141_295549	k141_295549_3	2224	3558	+	STP|SBP_bac_1
CGC1184	TC	k141_295549	k141_295549_4	3652	4530	+	TC|3.A.1.1.61
CGC1184	TC	k141_295549	k141_295549_5	4540	5382	+	TC|3.A.1.1.11
CGC1185	CAZyme	k141_29701	k141_29701_1	3	1019	+	CAZyme|CE4_e347
CGC1185	TC	k141_29701	k141_29701_2	1044	2387	-	TC|2.A.66.1.45
CGC1185	TC	k141_29701	k141_29701_3	2488	3252	-	TC|1.A.115.1.2
CGC1186	TC	k141_297089	k141_297089_2	656	2491	+	TC|4.A.1.2.11
CGC1186	CAZyme	k141_297089	k141_297089_3	2502	3914	+	CAZyme|GH1_e87+TC|8.A.49.1.2
CGC1186	null	k141_297089	k141_297089_4	3933	4769	+	null
CGC1186	null	k141_297089	k141_297089_5	4986	5777	+	null
CGC1186	TC	k141_297089	k141_297089_6	6305	8176	+	TC|3.A.29.1.7
CGC1187	CAZyme	k141_297209	k141_297209_2	197	1612	-	CAZyme|GH32_e121
CGC1187	TC	k141_297209	k141_297209_3	1647	2006	-	TC|3.A.1.1.45
CGC1188	TC	k141_297215	k141_297215_2	2048	3988	-	TC|8.A.46.1.2
CGC1188	TC	k141_297215	k141_297215_3	4017	7259	-	TC|1.B.14.6.1
CGC1188	CAZyme	k141_297215	k141_297215_4	7605	10208	-	CAZyme|GH28_e80|GH105_e30
CGC1188	TC	k141_297215	k141_297215_5	10427	10681	+	TC|2.A.130.1.1
CGC1189	TC	k141_297237	k141_297237_8	9202	9900	+	TC|9.B.120.1.1
CGC1189	CAZyme	k141_297237	k141_297237_9	9957	11399	+	CAZyme|GH43_35
CGC1189	STP	k141_297237	k141_297237_10	11926	12630	+	STP|Response_reg+TF|LytTR+STP|LytTR
CGC1189	null	k141_297237	k141_297237_11	12636	13940	+	null
CGC1189	CAZyme	k141_297237	k141_297237_12	14261	15700	+	CAZyme|GH43_35
CGC1189	CAZyme	k141_297237	k141_297237_13	15747	18767	+	CAZyme|GH3_e130
CGC1189	null	k141_297237	k141_297237_14	18821	19321	+	null
CGC1189	TC	k141_297237	k141_297237_15	20414	22045	+	TC|3.A.1.1.59
CGC1189	TC	k141_297237	k141_297237_16	22160	23113	+	TC|3.A.1.1.59
CGC1189	TC	k141_297237	k141_297237_17	23127	23999	+	TC|3.A.1.1.59
CGC1189	STP	k141_297237	k141_297237_18	24054	24953	+	STP|SIS
CGC1189	CAZyme	k141_297237	k141_297237_19	25266	26372	+	CAZyme|CE9_e105
CGC1189	null	k141_297237	k141_297237_20	26815	27675	+	null
CGC1189	CAZyme	k141_297237	k141_297237_21	28022	29572	+	CAZyme|GH3_e28
CGC1189	null	k141_297237	k141_297237_22	29587	30321	+	null
CGC1189	TC	k141_297237	k141_297237_23	30976	31902	+	TC|3.A.1.1.9
CGC1189	TC	k141_297237	k141_297237_24	31923	32807	+	TC|3.A.1.1.9
CGC1189	null	k141_297237	k141_297237_25	32812	33360	+	null
CGC1189	CAZyme	k141_297237	k141_297237_26	33516	35993	+	CAZyme|GH89_e16
CGC1190	TC	k141_297237	k141_297237_37	44582	46099	-	TC|2.A.2.1.1
CGC1190	CAZyme	k141_297237	k141_297237_38	46927	48762	+	CAZyme|GH2_e29
CGC1191	TC	k141_297372	k141_297372_1	3	464	-	TC|3.A.1.1.62
CGC1191	null	k141_297372	k141_297372_2	712	1539	-	null
CGC1191	CAZyme	k141_297372	k141_297372_3	1683	2405	+	CAZyme|CE4_e49
CGC1192	TC	k141_29748	k141_29748_8	7065	8732	-	TC|8.A.9.1.2+CAZyme|GH13_31
CGC1192	null	k141_29748	k141_29748_9	8744	9379	-	null
